Value,Disaggregation combinations using this value,Number of indicators
Asphodel-Norwood,280,1
Cavan Monaghan,280,1
Curve Lake First Nation 35,192,1
Douro-Dummer,271,1
Havelock-Belmont-Methuen,276,1
Hiawatha First Nation,188,1
North Kawartha,269,1
Ontario,336,1
Otonabee-South Monaghan,276,1
Peterborough,624,1
Selwyn,286,1
Trent Lakes,277,1
