Value,Disaggregation combinations using this value,Number of indicators
0 to 17 years,21,1
0 to 5 years,21,1
18 to 24 years,21,1
25 to 54 years,21,1
55 to 64 years,21,1
6 to 17 years,21,1
65 years and over,21,1
Total - Age,21,1
