Value,Disaggregation combinations using this value,Number of indicators
Asphodel-Norwood,81,2
Canada,81,2
Cavan Monaghan,81,2
Curve Lake First Nation,81,2
Douro-Dummer,81,2
Havelock-Belmont-Methuen,81,2
Hiawatha First Nation,81,2
North Kawartha,81,2
Ontario,81,2
Otonabee-South Monaghan,81,2
Peterborough (City),18,1
Peterborough,63,1
Selwyn,81,2
Trent Lakes,81,2
