Value,Disaggregation combinations using this value,Number of indicators
Average poverty gap ratio (%),288,1
In poverty,220,1
Not in poverty,240,1
Poverty rate (%),288,1
Poverty status - applicable,240,1
Poverty status - not applicable,96,1
