Value,Disaggregation combinations using this value,Number of indicators
2021A000235,336,1
2021A00033515,336,1
2021A00053515003,280,1
2021A00053515005,276,1
2021A00053515008,188,1
2021A00053515013,280,1
2021A00053515014,288,1
2021A00053515015,286,1
2021A00053515019,192,1
2021A00053515023,271,1
2021A00053515030,276,1
2021A00053515037,269,1
2021A00053515044,277,1
