Value,Disaggregation combinations using this value,Number of indicators
Gini index on adjusted household after-tax income,26,2
Gini index on adjusted household market income,26,2
Gini index on adjusted household total income,26,2
P90/P10 ratio on adjusted household after-tax income,26,2
